,path,category
41,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_128,theft
42,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_23,arrest
43,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_7,attack
44,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_2,blast
45,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_63,deliberate damage
46,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_33,firing
47,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_98,road accident
48,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_43,theft
49,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_29,arrest
50,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_59,attack
51,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_4,blast
52,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_54,deliberate damage
53,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_3,firing
54,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_71,road accident
55,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_229,theft
56,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_12,arrest
57,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_28,attack
58,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_13,blast
59,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_1,deliberate damage
60,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_2,firing
61,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_37,road accident
62,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_102,theft
63,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_32,arrest
64,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_93,attack
65,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_16,blast
66,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_24,deliberate damage
67,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_29,firing
68,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_75,road accident
69,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_30,theft
70,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_14,arrest
71,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_41,attack
72,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_16,blast
73,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_17,deliberate damage
74,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_17,firing
75,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_38,road accident
76,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_50,theft
77,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_1,arrest
78,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_8,attack
79,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_9,blast
80,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_12,deliberate damage
81,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_26,firing
82,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_67,road accident
83,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_14,theft
84,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_1,arrest
85,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_73,attack
86,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_5,blast
87,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_2,deliberate damage
88,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_29,firing
89,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_18,road accident
90,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_234,theft
91,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_33,arrest
92,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_64,attack
93,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_15,blast
94,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_17,deliberate damage
95,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_21,firing
96,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_84,road accident
97,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_73,theft
98,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_15,arrest
99,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_4,attack
100,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_1,blast
101,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_13,deliberate damage
102,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_29,firing
103,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_75,road accident
104,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_185,theft
105,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_12,arrest
106,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_20,attack
107,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_13,blast
108,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_27,deliberate damage
109,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_6,firing
110,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_19,road accident
111,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_129,theft
112,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_3,arrest
113,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_23,attack
114,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_4,blast
115,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_30,deliberate damage
116,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_10,firing
117,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_82,road accident
118,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_195,theft
119,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_19,arrest
120,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_13,attack
121,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_3,blast
122,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_29,deliberate damage
123,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_17,firing
124,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_35,road accident
125,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_252,theft
126,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_15,arrest
127,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_51,attack
128,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_6,blast
129,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_16,deliberate damage
130,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_4,firing
131,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_36,road accident
132,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_188,theft
133,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_22,arrest
134,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_15,attack
135,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_14,blast
136,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_17,deliberate damage
137,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_25,firing
138,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_42,road accident
139,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_164,theft
140,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_2,arrest
141,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_24,attack
142,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_14,blast
143,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_35,deliberate damage
144,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_11,firing
145,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_10,road accident
146,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_42,theft
147,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_29,arrest
148,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_38,attack
149,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_16,blast
150,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_23,deliberate damage
151,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_11,firing
152,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_72,road accident
153,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_154,theft
154,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_18,arrest
155,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_95,attack
156,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_18,blast
157,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_43,deliberate damage
158,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_18,firing
159,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_12,road accident
160,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_72,theft
161,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_25,arrest
162,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_61,attack
163,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_17,blast
164,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_48,deliberate damage
165,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_33,firing
166,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_66,road accident
167,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_31,theft
168,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_21,arrest
169,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_88,attack
170,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_11,blast
171,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_28,deliberate damage
172,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_19,firing
173,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_44,road accident
174,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_241,theft
175,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_6,arrest
176,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_21,attack
177,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_12,blast
178,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_38,deliberate damage
179,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_20,firing
180,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_41,road accident
181,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_11,theft
182,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_15,arrest
183,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_39,attack
184,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_14,blast
185,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_67,deliberate damage
186,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_21,firing
187,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_2,road accident
188,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_50,theft
189,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_12,arrest
190,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_22,attack
191,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_7,blast
192,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_34,deliberate damage
193,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_15,firing
194,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_26,road accident
195,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_153,theft
196,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_12,arrest
197,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_76,attack
198,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_9,blast
199,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_59,deliberate damage
200,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_17,firing
201,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_92,road accident
202,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_231,theft
203,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_16,arrest
204,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_26,attack
205,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_15,blast
206,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_53,deliberate damage
207,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_21,firing
208,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_18,road accident
209,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_255,theft
210,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_18,arrest
211,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_37,attack
212,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_11,blast
213,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_61,deliberate damage
214,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_9,firing
215,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_60,road accident
216,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_99,theft
217,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_30,arrest
218,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_39,attack
219,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_17,blast
220,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_63,deliberate damage
221,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_33,firing
222,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_30,road accident
223,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_92,theft
224,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_7,arrest
225,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_8,attack
226,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_7,blast
227,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_34,deliberate damage
228,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_6,firing
229,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_49,road accident
230,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_223,theft
231,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_33,arrest
232,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_95,attack
233,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_4,blast
234,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_11,deliberate damage
235,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_32,firing
236,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_49,road accident
237,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_171,theft
238,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_19,arrest
239,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_63,attack
240,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_9,blast
241,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_60,deliberate damage
242,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_15,firing
243,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_99,road accident
244,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_236,theft
245,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_2,arrest
246,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_51,attack
247,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_15,blast
248,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_41,deliberate damage
249,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_1,firing
250,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_86,road accident
251,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_57,theft
252,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_25,arrest
253,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_8,attack
254,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_12,blast
255,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_60,deliberate damage
256,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_6,firing
257,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_34,road accident
258,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_111,theft
259,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_7,arrest
260,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_39,attack
261,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_3,blast
262,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_56,deliberate damage
263,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_20,firing
264,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_36,road accident
265,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_77,theft
266,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_22,arrest
267,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_59,attack
268,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_14,blast
269,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_11,deliberate damage
270,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_24,firing
271,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_11,road accident
272,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_1,theft
273,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_28,arrest
274,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_10,attack
275,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_14,blast
276,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_60,deliberate damage
277,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_28,firing
278,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_5,road accident
279,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_29,theft
280,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_10,arrest
281,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_47,attack
282,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_11,blast
283,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_38,deliberate damage
284,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_28,firing
285,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_71,road accident
286,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_1,theft
