,path,category
70,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_42,attack
71,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_43,attack
72,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_44,attack
73,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_45,attack
74,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_46,attack
75,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_47,attack
76,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_48,attack
77,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_49,attack
78,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_5,attack
79,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_50,attack
80,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_51,attack
81,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_52,attack
82,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_53,attack
83,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_54,attack
84,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_55,attack
85,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_56,attack
86,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_57,attack
87,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_58,attack
88,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_59,attack
89,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_6,attack
90,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_60,attack
91,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_61,attack
92,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_62,attack
93,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_63,attack
94,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_64,attack
95,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_65,attack
96,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_66,attack
97,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_67,attack
98,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_68,attack
99,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_69,attack
100,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_7,attack
101,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_70,attack
102,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_71,attack
103,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_72,attack
104,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_73,attack
105,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_74,attack
106,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_75,attack
107,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_76,attack
108,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_77,attack
109,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_78,attack
110,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_79,attack
111,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_8,attack
112,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_80,attack
113,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_81,attack
114,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_82,attack
115,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_83,attack
116,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_84,attack
117,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_85,attack
118,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_86,attack
119,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_87,attack
120,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_88,attack
121,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_89,attack
122,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_9,attack
123,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_90,attack
124,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_91,attack
125,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_92,attack
126,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_93,attack
127,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_94,attack
128,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_95,attack
129,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_96,attack
130,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_97,attack
131,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_98,attack
132,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_99,attack
133,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_1,blast
134,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_10,blast
135,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_11,blast
136,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_12,blast
137,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_13,blast
138,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_14,blast
139,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_15,blast
140,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_16,blast
141,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_17,blast
142,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_18,blast
143,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_2,blast
144,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_3,blast
145,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_4,blast
146,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_5,blast
147,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_6,blast
148,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_7,blast
149,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_8,blast
150,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_9,blast
151,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_1,deliberate damage
152,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_10,deliberate damage
153,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_11,deliberate damage
154,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_12,deliberate damage
155,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_13,deliberate damage
156,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_14,deliberate damage
157,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_15,deliberate damage
158,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_16,deliberate damage
159,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_17,deliberate damage
160,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_18,deliberate damage
161,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_19,deliberate damage
162,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_2,deliberate damage
163,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_20,deliberate damage
164,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_21,deliberate damage
165,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_22,deliberate damage
166,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_23,deliberate damage
167,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_24,deliberate damage
168,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_25,deliberate damage
169,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_26,deliberate damage
170,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_27,deliberate damage
171,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_28,deliberate damage
172,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_29,deliberate damage
173,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_3,deliberate damage
174,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_30,deliberate damage
175,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_31,deliberate damage
176,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_32,deliberate damage
177,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_33,deliberate damage
178,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_34,deliberate damage
179,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_35,deliberate damage
180,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_36,deliberate damage
181,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_37,deliberate damage
182,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_38,deliberate damage
183,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_39,deliberate damage
184,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_4,deliberate damage
185,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_40,deliberate damage
186,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_41,deliberate damage
187,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_42,deliberate damage
188,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_43,deliberate damage
189,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_44,deliberate damage
190,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_45,deliberate damage
191,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_46,deliberate damage
192,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_47,deliberate damage
193,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_48,deliberate damage
194,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_49,deliberate damage
195,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_5,deliberate damage
196,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_50,deliberate damage
197,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_51,deliberate damage
198,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_52,deliberate damage
199,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_53,deliberate damage
200,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_54,deliberate damage
201,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_55,deliberate damage
202,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_56,deliberate damage
203,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_57,deliberate damage
204,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_58,deliberate damage
205,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_59,deliberate damage
206,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_6,deliberate damage
207,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_60,deliberate damage
208,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_61,deliberate damage
209,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_62,deliberate damage
210,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_63,deliberate damage
211,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_64,deliberate damage
212,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_65,deliberate damage
213,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_66,deliberate damage
214,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_67,deliberate damage
215,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_7,deliberate damage
216,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_8,deliberate damage
217,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_9,deliberate damage
218,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_1,firing
219,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_10,firing
220,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_11,firing
221,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_12,firing
222,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_13,firing
223,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_14,firing
224,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_15,firing
225,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_16,firing
226,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_17,firing
227,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_18,firing
228,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_19,firing
229,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_2,firing
230,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_20,firing
231,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_21,firing
232,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_22,firing
233,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_23,firing
234,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_24,firing
235,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_25,firing
236,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_26,firing
237,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_27,firing
238,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_28,firing
239,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_29,firing
240,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_3,firing
241,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_30,firing
242,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_31,firing
243,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_32,firing
244,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_33,firing
245,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_4,firing
246,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_5,firing
247,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_6,firing
248,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_7,firing
249,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_8,firing
250,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_9,firing
251,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_1,road accident
252,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_10,road accident
253,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_100,road accident
254,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_11,road accident
255,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_12,road accident
256,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_13,road accident
257,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_14,road accident
258,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_15,road accident
259,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_16,road accident
260,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_17,road accident
261,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_18,road accident
262,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_19,road accident
263,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_2,road accident
264,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_20,road accident
265,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_21,road accident
266,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_22,road accident
267,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_23,road accident
268,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_24,road accident
269,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_25,road accident
270,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_26,road accident
271,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_27,road accident
272,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_28,road accident
273,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_29,road accident
274,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_3,road accident
275,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_30,road accident
276,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_31,road accident
277,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_32,road accident
278,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_33,road accident
279,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_34,road accident
280,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_35,road accident
281,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_36,road accident
282,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_37,road accident
